,timestamp,reportingGroup,locationName,value,unit
175,2021-01-08T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.12,kWh
176,2021-01-08T08:00:00,Electricity,1000 Hakaniemen kauppahalli,1.5699999999999998,kWh
177,2021-01-08T09:00:00,Electricity,1000 Hakaniemen kauppahalli,1.62,kWh
178,2021-01-08T10:00:00,Electricity,1000 Hakaniemen kauppahalli,1.6300000000000001,kWh
179,2021-01-08T11:00:00,Electricity,1000 Hakaniemen kauppahalli,1.62,kWh
180,2021-01-08T12:00:00,Electricity,1000 Hakaniemen kauppahalli,1.63,kWh
181,2021-01-08T13:00:00,Electricity,1000 Hakaniemen kauppahalli,1.5899999999999999,kWh
182,2021-01-08T14:00:00,Electricity,1000 Hakaniemen kauppahalli,1.51,kWh
183,2021-01-08T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.11,kWh
184,2021-01-08T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
185,2021-01-08T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.060000000000000005,kWh
186,2021-01-08T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
187,2021-01-08T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
188,2021-01-08T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
189,2021-01-08T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
190,2021-01-08T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
191,2021-01-08T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
192,2021-01-09T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
193,2021-01-09T01:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
194,2021-01-09T02:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
195,2021-01-09T03:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
196,2021-01-09T04:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
197,2021-01-09T05:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
198,2021-01-09T06:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
199,2021-01-09T07:00:00,Electricity,1000 Hakaniemen kauppahalli,0.77,kWh
200,2021-01-09T08:00:00,Electricity,1000 Hakaniemen kauppahalli,2.58,kWh
201,2021-01-09T09:00:00,Electricity,1000 Hakaniemen kauppahalli,5.5,kWh
202,2021-01-09T10:00:00,Electricity,1000 Hakaniemen kauppahalli,5.1,kWh
203,2021-01-09T11:00:00,Electricity,1000 Hakaniemen kauppahalli,5.659999999999999,kWh
204,2021-01-09T12:00:00,Electricity,1000 Hakaniemen kauppahalli,4.8,kWh
205,2021-01-09T13:00:00,Electricity,1000 Hakaniemen kauppahalli,4.93,kWh
206,2021-01-09T14:00:00,Electricity,1000 Hakaniemen kauppahalli,2.3499999999999996,kWh
207,2021-01-09T15:00:00,Electricity,1000 Hakaniemen kauppahalli,0.15,kWh
208,2021-01-09T16:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
209,2021-01-09T17:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
210,2021-01-09T18:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
211,2021-01-09T19:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
212,2021-01-09T20:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
213,2021-01-09T21:00:00,Electricity,1000 Hakaniemen kauppahalli,0.04,kWh
214,2021-01-09T22:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
215,2021-01-09T23:00:00,Electricity,1000 Hakaniemen kauppahalli,0.05,kWh
216,2021-01-10T00:00:00,Electricity,1000 Hakaniemen kauppahalli,0.03,kWh
